Date,Category of Accident,Type of accident,Type of Train 1,Type of Train 2,Type of Train 3,Death,Injuries,Location of accident state,Cause & Location of accident place
12 May 1979,technical,Derailment,Passenger,,,,,Punjab,Derailment of 3 Pn Up (Pathankot-Nagrota) Passenger Train at Km. 37/5-6 between Talara and Jawanwala Shah Stations on Pathankot Joginder Nagar Narrow Gauge Section in Firozpur Division of Northern Railway.[49]
18 May 1979,technical,Collision,Suburban Train,Mail,,,,West Bengal,Collision of K. 121 Up Howrah-Kharagur Local with the rear of 3 Up Howrah-Madras Mail at Km.25/25-27 on the Up Line between Bauria and Chengail Stations.[49]
26 October 1979,technical,Collision,Suburban Train,Suburban Train,,,,Tamil Nadu,Rear End Collision between Electric Multiple Unit Trains No. E-65 and No.E-67 on The Down Subudrban Line at Madras Egmore Station on Madras Beach Tambaram Suburban Metre Gauge Section of Southern Railway.[49]
14 November 1979,technical,Collision,Express,Express,,,,Maharashtra,"Two trains collided near Matunga, killing 5 and injuring 50.[55]"
22 November 1979,technical,Derailment,Mail,Mail,,,,Gujarat,Derailment of 6 Up Bg Saurashtra (Viramgam Bombay Central ) Mail at Sabarmati and subsequent collision of 24down Mg Somnath (Ahmedabad Veraval) Mail with The Derailed Luggage Van of 6 Up Mail.[49]
3 December 1979,technical,Derailment,Express,,,,,Karnataka,Derailment of No. 204 Down Miraj Bangalore Mahalaxmi Express Train Near Lalhond Halt Station between Desur and Khanapur Stations of the Miraj Hubli Metre Gauge Section of South Central Railway.[49]
8 December 1979,technical,Collision,Suburban Train,Suburban Train,,,,Maharashtra,"Collision of No. T-181 Down Bombay V.T. Thane Suburban Train with No.Tl-31 Down Bombay V.T. Titvala Suburban train at Km. 21/3-4 between Ghatkopar and Vikhroli Quadruple Line Broad Gauge Suburban Section of Bombay Division, Central Railway.[49]"
23 December 1979,technical,Collision,Mail,Passenger,,18,25,Assam,"1 Dn Avadh-Trihut Mail crashed into the rear of the standing 26 Dn Guwahati Dhubri passenger train near Sarupeta, killing 18 and injuring 25.[56]"
12 February 1981,technical,Collision,Freight Train,Mail,Express,,,Tamil Nadu,"A freight train, the No.20 Madras Mail from Trivandrum Central Trivandrum Mail, and the Yercaud Express collided in Vaniyambadi, 200 km (120 mi) from Chennai.[57]"
6 June 1981,technical,Tropical Cyclone derailment,Passenger,,,750,50,Bihar,"The Bihar train derailment occurred when a train fell into the river Bagmati while crossing a bridge, killing between 300 and 800 people. It is estimated to have been one of the deadliest train accidents in India.[58]"
16 July 1981,technical,Collision,Freight Train,Express,,50,49,Madhya Pradesh,"A freight train collided with the back of a Narmada Express in Madhya Pradesh, between Khodri and Bhanwar Tonk station, killing 50 people and injuring 49.[59]"
19 July 1981,technical,Sabotage,Express,,,30,70,Gujarat,"A train travelling to Ahmedabad from New Delhi derailed in Gujarat, killing 30 people and injuring 70. Sabotage was blamed.[citation needed]"
28 January 1982,technical,Collision,Freight Train,Passenger,,50,50,Uttar Pradesh,"A freight train and an express passenger train collided head-on in heavy fog near Agra, killing 50 and injuring 50.[60]"
20 March 1982,technical,Collision on an obstacle,Express,,,59,25,Andhra Pradesh,"A Mangalore New Delhi train collided with a tourist bus at a level crossing in Andhra Pradesh, killing at least 59 people on the bus and injuring 25 others.[61]"
10 February 1984,technical,Collision,Passenger,Mail,,43,58,Haryana,"The 2 DR (Rohtak - Delhi) train collided into the rear coaches of the stationary 38 Down Punjab Mail on platform No.3 of Bahadurgarh station in Haryana, killing 43 and injuring 58.[62]"
15 September 1984,technical,Derailment,Passenger,,,150,,Madhya Pradesh,"The Jabalpur-Gondia passenger mishap occurred when a passenger train sank in river near Charegaon, Balaghat, Madhya Pradesh, killing over 150 people."
15 August 1984,technical,Derailment,Express,,,16,,Odisha,Derailment of 41 up Coromandel Express at Chhattrapur near Berhampur in Odisha. 16 dead.
22 November 1984,technical,Collision,Passenger,Passenger,,,,Maharashtra,The Mumbai local rail disaster occurred where one train collided with other train on the Byculla railway station.
23 February 1985,non-technical,Fire,Express,,,50,,Madhya Pradesh,"The Rajnandgaon train fire occurred when an express train caught fire in Madhya Pradesh, killing over 50 people.[63]"
13 June 1985,technical,Collision,Express,Freight Train,,38,,Uttar Pradesh,"The Agra rail disaster involved a collision at Agra between an express and a goods train, killing 38 people.[63]"
22 November 1985,technical,Collision,Mail,Freight Train,,5,300,West Bengal,"Two trains viz The New Delhi-bound Tinsukia Mail passenger train and a freight train collided in the eastern state of West Bengal, at Dhupguri railroad station, about 750 miles east of New Delhi killing at least one person and injuring more than 300 others, seven seriously. Three to Five cars of the passenger train derailed in the accident."
10 March 1986,technical,Collision,Express,,,50,35,Bihar,"The Khagaria rail disaster involved a collision in Bihar, killing over 50 people.[63]"
8 July 1987,technical,Derailment,Express,,,53,25,Andhra Pradesh,"The Machieral rail disaster involved the derailment of the Delhi-Dakshin Express at Macherial, Andhra Pradesh, killing 53.[63]"
15 March 1987,non-technical,Sabotage,Express,,,25,150,Tamil Nadu,"Rockfort Express (Chennai - Tiruchi) plunged into a dry riverbed when a bomb exploded on a bridge over the Marudaiyar, near Ariyalur. 25 people were killed and several others were injured.[66]"
18 April 1988,technical,Derailment,Express,,,75,,Uttar Pradesh,"Lalitpur rail disaster involved the Karnataka Express derailing near Lalitpur, killing 75.[63][67]"
8 July 1988,technical,Derailment,Express,,,105,200,Kerala,"Peruman railway accident occurred when the Island Express (Bangalore City - Kanyakumari) derailed on the Peruman bridge and fell into Ashtamudi Lake, killing 105 people and injuring around 200."
16 December 1988,technical,Derailment,Express,,,8,64,Andhra Pradesh,Coromandel Express derailed at Vijayawada. 8 dead 64 injured.
1 November 1989,technical,Derailment,Express,,,48,,Uttar Pradesh,"Udyan Abha Toofan Express derailed in Sakaldiha, Uttar Pradesh killing at least 48.[71]"
16 April 1990,non-technical,Fire,Suburban Train,,,70,,Bihar,"The Patna rail disaster involved a shuttle train consumed by fire near Patna, killing 70.[72]"
6 June 1990,non-technical,Fire,Passenger,,,36,,Andhra Pradesh,"A fire on a train at Gollaguda, in Andhra Pradesh, killed 36 people.[72]"
25 June 1990,technical,Collision,Freight Train,Passenger,,60,,Bihar,"A freight train collided with a passenger train at Mangra, Bihar, leading to 60 deaths.[72]"
10 October 1990,non-technical,Fire,Passenger,,,40,,Andhra Pradesh,A train fire near Cherlapalli in Andhra Pradesh killed 40 people.[72]
6 March 1991,non-technical,Derail due to Fog or Rain,Express,,,30,,Karnataka,"The Karnataka Express derailed in the rain near Makalidurga ghats, about 60 km (37 mi) from Bangalore, killing 30.[73]"
12 December 1991,technical,Collision,Passenger,,,27,,Himachal Pradesh,"The Kangra valley train suffered a crash near Jawali, Himachal Pradesh, killing 27.[74]"
5 September 1992,technical,Collision,Express,,,41,,Madhya Pradesh,A collision near Raigarh in Madhya Pradesh killed 41.[72][75]
16 January 1993,technical,Collision,Express,Freight Train,,,,Uttar Pradesh,The Howrah Rajdhani Express collided with a goods train between Roorah and Ambiyapur flag stations.[76]
16 July 1993,technical,Derailment,Express,,,60,,Bihar,A train accident in the Darbhanga district of Bihar killed 60.[72]
21 September 1993,technical,Collision,Passenger,Freight Train,,71,,Rajasthan,"A KotaBina passenger train collided with a freight train near Chhabra in Rajasthan, killing 71.[73]"
3 May 1994,non-technical,Collision on an obstacle,Express,,,35,,Andhra Pradesh,"The Narayanadri Express collided with a tractor in Nalgonda district of Andhra Pradesh, killing 35.[73]"
26 October 1994,non-technical,Fire,Mail,,,27,,Madhya Pradesh,"The 8001 DN MumbaiHowrah Mail's sleeper coach caught fire in the early morning, killing 27.[77]"
14 May 1995,technical,Collision,Express,,,52,,Tamil Nadu,"The MadrasKanyakumari Express collided head-on with a freight train near Salem, killing 52.[78]"
1 June 1995,technical,Collision,Express,Freight Train,,45,335,West Bengal,"The Jammu Tawi Express from Kolkata collided with a stationary coal-laden goods train, killing 45 and injuring 335.[79]"
1 June 1995,technical,Derailment,Express,,,15,,Odisha,"Four carriages of the Hirakud Express derailed and fell down an embankment at Barpali, Orissa, causing 15 deaths.[79]"
20 August 1995,technical,Collision,Express,Express,,400,,Uttar Pradesh,"The Firozabad rail disaster occurred when the Purushottam Express collided with the stationary Kalindi Express near Firozabad, killing 400.[78]"
18 April 1996,technical,Collision,Passenger,Freight Train,,60,,Uttar Pradesh,"A GorakhpurGonda passenger train collided with a stationary freight train at Domingarh station near Gorakhpur, Uttar Pradesh, killing 60.[78]"
14 May 1996,non-technical,Collision on an obstacle,Passenger,,,35,,Kerala,"An ErnakulamKayamkulam train collided with a bus at an unmanned level-crossing near Alappuzha, Kerala, killing 35 people in a marriage party.[78]"
25 May 1996,technical,Collision on an obstacle,Passenger,,,25,,Uttar Pradesh,"An Allahabad-bound passenger train collided with a tractor-trolley at an unmanned level-crossing near Varanasi, killing 25.[78]"
30 December 1996,non-technical,Serial Blast,Mail,,,33,,Assam,"The Brahmaputra Mail train bombing occurred when the Brahmaputra Mail was blasted by a bomb between Kokrajhar and Fakiragram stations in lower Assam, killing 33.[78]"
8 July 1997,non-technical,Serial Blast,Passenger,,,33,,Punjab,"A passenger train was blasted by a bomb at Lehra Khanna railway station, Bhatinda district, Punjab, killing 33.[72]"
28 July 1997,technical,Collision,Express,Express,,12,,Delhi [National Capital Territory (NCT)],"The Karnataka Express and Himsagar Express collided on the outskirts of Delhi, killing 12.[80]"
15 August 1997,technical,Collision,Express,Express,,75,,Andhra Pradesh,42 Down Coromandel Express collided headon with 41 Up Coromandel Express near Visakhapatnam in Andhra Pradesh killing 75.
14 September 1997,technical,Derailment,Express,,,81,,Madhya Pradesh,"Five cars of the AhmedabadHowrah Express plunged into a river in Bilaspur district, Madhya Pradesh, killing 81.[78]"
5 October 1997,technical,Derailment,Express,,,,,Andhra Pradesh,42 Down Coromandel Express derailed at Rajahmundry after crossing Godavari (Havelock) Bridge. The bridge was decommissioned after the incident & New Arch Bridge was thrown open for rail traffic.
6 December 1997,non-technical,Serial Blast,Express,Express,Express,10,70,Tamil Nadu,"Serial bomb blasts in Cheran Express at Erode, Pandian Express at Tiruchirappalli and ChennaiAlleppey Express at Thrissur kills 10 people and injures 70.[81]"
6 Jan 1998,technical,Collision,Passenger,Express,,70,120,Uttar Pradesh,"A BareillyVaranasi passenger train collided with the stationary Kashi Vishwanath Express about 12 km (7.5 mi) from Hardoi, killing 70.[82]"
4 April 1998,technical,Derailment,Express,,,11,50,Bihar,The Fatuha train crash occurred when the HowrahDanapur Express derailed near Fatuha Station on the Howrah
24 April 1998,technical,Collision,Freight Train,Express,,24,32,Maharashtra,"15 cars of a freight train collided with the ManmadKachiguda Express at Parli Vaijanath railway station in Maharashtra, killing 24 and injuring 32.[72]"
13 August 1998,non-technical,Collision on an obstacle,Express,,,19,27,Tamil Nadu,"The ChennaiMadurai Express train collided with a bus at an unmanned level-crossing on the new Karur-Salem bypass road on the outskirts of Karur town, killing 19 and injuring 27.[78]"
24 September 1998,non-technical,Collision on an obstacle,Express,,,20,33,Andhra Pradesh,"A locomotive collided with a bus at an unmanned level-crossing near Bottalaapalem village in Andhra Pradesh, killing 20 (including 14 school children) and injuring 33.[78]"
26 November 1998,technical,Collision,Express,Mail,,212,300,Punjab,"The Khanna rail disaster occurred when the Jammu TawiSealdah Express collided with three derailed coaches of the Frontier Golden Temple Mail at Khanna, killing over 212 people.[83]"
16 July 1999,technical,Collision,Express,Freight Train,,17,200,Uttar Pradesh,"The 2616 UP ChennaiNew Delhi Grand Trunk Express collided with derailed cars of a DN freight train on the Agra-Mathura section of the Central Railway, killing 17 and injuring over 200.[78]"
2 August 1999,technical,Collision,Mail,Express,,285,300,West Bengal,"The Gaisal train disaster occurred when the Brahmaputra Mail collided into the stationary Avadh Assam Express at Gaisal station in North Frontier Railway's Katihar division, killing at least 285 and injuring more than 300.[84]"
15 August 1999,technical,Derailment,Express,,,50,300,Andhra Pradesh,"Coromandel Express derailed at Dusi, just crossing Nagavalli River killing 50 passengers and injuring 500."
6 December 1999,non-technical,Tropical Cyclone derailment,Express,,,20,100,Odisha,"Coromandel Express derailed at Jenapur, killing 20 passengers and injuring 100. Tracks were damaged due to Super Cyclone."
2 December 2000,technical,Derailment and Collision,Express,Freight Train,,45,150,Punjab,The Howrah Amritsar Mail express collided with derailed coaches of goods train between Ambala Ludhiana. Over 45 people were killed and 150 were injured.[85]
22 June 2001,technical,Derailment,Passenger,,,52,300,Karnataka,"The Kadalundi train derailment occurred when the MangaloreChennai Mail commuter train was crossing Bridge 924 over the Kadalundi River and four carriages derailed and fell into the river, killing 52 and injuring as many as 300.[78]"
27 February 2002,non-technical,Sabotage,Express,,,58,43,Gujarat,"The Sabarmati Express was attacked by a mob at Godhra station in Gujarat and four coaches were set on fire, killing 58 and wounding 43.[86]"
28 February 2002,non-technical,Sabotage,Express,,,,100,Gujarat,"In retaliation for the 27 February Sabarmati Express attack, the AhmedabadDelhi Ala Hazrat Express was attacked by a mob, injuring 100200 passengers.[citation needed]"
13 May 2002,non-technical,Sabotage,Express,,,12,80,Uttar Pradesh,"The 2002 Jaunpur train crash occurred when sabotage derailed the Shramjeevi Express at Jaunpur, Uttar Pradesh, killing 12 and injuring 80.[87]"
